VISITOR ARRIVALS BY COUNTRY OF RESIDENCE AND MODE OF TRANSPORT - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTH,  JANUARY,,,FEBRUARY,,,MARCH,,,TOT     Q1,,,APRIL,,,MAY,,,JUNE,,,  TOT      Q2,,,JULY,,,AUGUST,,,SEPTEMBER,,,  TOT      Q3,,,OCTOBER,,,NOVEMBER,,,DECEMBER,,,  TOT      Q4,,, ANNUAL, ANNUAL,  ANNUAL,,
COUNTRY,AIR,SEA, TOT, AIR, SEA, TOT,  AIR, SEA, TOT,  AIR,   SEA, TOTAL,  AIR, SEA, TOT,  AIR, SEA, TOT,  AIR, SEA, TOT,  AIR,   SEA, TOTAL,  AIR, SEA, TOT,  AIR, SEA, TOT,  AIR, SEA, TOT,  AIR,   SEA, TOTAL,  AIR, SEA, TOT,  AIR, SEA, TOT,  AIR, SEA, TOT,  AIR,   SEA, TOTAL,    AIR,    SEA,TOTAL,,
 Portugal , 66 , -   , 66 , 144 , -   , 144 , 131 , 1 , 132 , 341 , 1 , 342 , 299 , -   , 299 , 124 , -   , 124 , 267 , -   , 267 , 690 , -   , 690 , 191 , -   , 191 , 298 , -   , 298 , 159 , -   , 159 , 648 , -   , 648 , 188 , -   , 188 , 114 , -   , 114 , 117 , -   , 117 , 419 , -   , 419 ," 2,098 ", 1 ," 2,099 ",,
 San Marino , -   , -   , -   , -   , -   , -   , 6 , -   , 6 , 6 , -   , 6 , 9 , -   , 9 , 2 , -   , 2 , 4 , -   , 4 , 15 , -   , 15 , -   , -   , -   , -   , -   , -   , 4 , -   , 4 , 4 , -   , 4 , 6 , -   , 6 , 2 , -   , 2 , 3 , -   , 3 , 11 , -   , 11 , 36 , -   , 36 ,,
 Serbia , 159 , -   , 159 , 149 , -   , 149 , 178 , -   , 178 , 486 , -   , 486 , 229 , 1 , 230 , 107 , -   , 107 , 100 , -   , 100 , 436 , 1 , 437 , 200 , -   , 200 , 177 , -   , 177 , 149 , -   , 149 , 526 , -   , 526 , 160 , -   , 160 , 112 , -   , 112 , 66 , 2 , 68 , 338 , 2 , 340 ," 1,786 ", 3 ," 1,789 ",,
 Slovenia , 65 , -   , 65 , 109 , -   , 109 , 119 , -   , 119 , 293 , -   , 293 , 266 , -   , 266 , 61 , -   , 61 , 65 , -   , 65 , 392 , -   , 392 , 165 , -   , 165 , 101 , -   , 101 , 54 , -   , 54 , 320 , -   , 320 , 145 , -   , 145 , 90 , -   , 90 , 70 , -   , 70 , 305 , -   , 305 ," 1,310 ", -   ," 1,310 ",,
 Spain , 157 , 2 , 159 , 195 , 4 , 199 , 200 , 1 , 201 , 552 , 7 , 559 , 406 , 2 , 408 , 286 , 11 , 297 , 368 , -   , 368 ," 1,060 ", 13 ," 1,073 ", 458 , -   , 458 , 812 , -   , 812 , 417 , 1 , 418 ," 1,687 ", 1 ," 1,688 ", 347 , 1 , 348 , 260 , 1 , 261 , 442 , 3 , 445 ," 1,049 ", 5 ," 1,054 "," 4,348 ", 26 ," 4,374 ",,
 Austria , 529 , 3 , 532 , 763 , 1 , 764 , 699 , -   , 699 ," 1,991 ", 4 ," 1,995 ", 680 , -   , 680 , 579 , -   , 579 , 431 , -   , 431 ," 1,690 ", -   ," 1,690 "," 1,016 ", -   ," 1,016 ", 772 , -   , 772 , 515 , -   , 515 ," 2,303 ", -   ," 2,303 ", 824 , 14 , 838 , 690 , 1 , 691 , 607 , -   , 607 ," 2,121 ", 15 ," 2,136 "," 8,105 ", 19 ," 8,124 ",,
 Belgium , 191 , 1 , 192 , 283 , 1 , 284 , 256 , -   , 256 , 730 , 2 , 732 , 531 , 13 , 544 , 378 , 1 , 379 , 286 , -   , 286 ," 1,195 ", 14 ," 1,209 ", 639 , -   , 639 , 297 , -   , 297 , 312 , -   , 312 ," 1,248 ", -   ," 1,248 ", 556 , 1 , 557 , 258 , -   , 258 , 147 , -   , 147 , 961 , 1 , 962 ," 4,134 ", 17 ," 4,151 ",,
 France ," 2,179 ", 32 ," 2,211 "," 4,626 ", 38 ," 4,664 "," 4,211 ", 23 ," 4,234 "," 11,016 ", 93 ," 11,109 "," 4,641 ", 10 ," 4,651 "," 3,897 ", 8 ," 3,905 "," 2,032 ", 4 ," 2,036 "," 10,570 ", 22 ," 10,592 "," 3,928 ", 2 ," 3,930 "," 4,643 ", 4 ," 4,647 "," 2,649 ", 2 ," 2,651 "," 11,220 ", 8 ," 11,228 "," 5,131 ", 46 ," 5,177 "," 3,967 ", 6 ," 3,973 "," 2,274 ", 40 ," 2,314 "," 11,372 ", 92 ," 11,464 "," 44,178 ", 215 ," 44,393 ",,
 Germany ," 1,915 ", -   ," 1,915 "," 2,619 ", 7 ," 2,626 "," 3,614 ", 1 ," 3,615 "," 8,148 ", 8 ," 8,156 "," 3,885 ", 7 ," 3,892 "," 3,303 ", 3 ," 3,306 "," 3,431 ", -   ," 3,431 "," 10,619 ", 10 ," 10,629 "," 4,241 ", -   ," 4,241 "," 4,108 ", -   ," 4,108 "," 4,143 ", -   ," 4,143 "," 12,492 ", -   ," 12,492 "," 6,061 ", 232 ," 6,293 "," 4,156 ", 14 ," 4,170 "," 2,875 ", 11 ," 2,886 "," 13,092 ", 257 ," 13,349 "," 44,351 ", 275 ," 44,626 ",,
 Liechtenstein , 5 , -   , 5 , 4 , -   , 4 , -   , -   , -   , 9 , -   , 9 , 8 , -   , 8 , 5 , -   , 5 , 4 , -   , 4 , 17 , -   , 17 , 6 , -   , 6 , 2 , -   , 2 , 6 , -   , 6 , 14 , -   , 14 , 15 , -   , 15 , 6 , -   , 6 , 10 , -   , 10 , 31 , -   , 31 , 71 , -   , 71 ,,
